# ReportingCommunications: 13 tables, 5 > 1k (5.9s)
# ReportingBrokers: 21 tables, 5 > 1k (7.0s)
# ReportingLoanbook: 43 tables, 18 > 1k (9.4s)
# ReportingLookup: 4 tables, 3 > 1k (4.0s)
# ReportingPayments: 17 tables, 5 > 1k (5.0s)
# ReportingTracking: 4 tables, 1 > 1k (4.0s)
# BackingTables: 152 tables, 113 > 1k (19.6s)
# ReportingApplications: 44 tables, 19 > 1k (38.3s)
# ReportingCentralCrm: 25 tables, 8 > 1k (61.6s)
# ReportingCreditbuilder: query failed (OperationalError: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Query timeout expired (0) (SQLExecDirectW)'))
# Whitebox: query failed (OperationalError: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Query timeout expired (0) (SQLExecDirectW)'))

# Total 177 tables with > 1,000 rows (94.7s elapsed)

database                 schema         table                                                      rows
------------------------------------------------------------------------------------------------------
ReportingApplications    dbo            leads                                               392,425,427
ReportingCommunications  dbo            Messages                                            248,526,468
ReportingLoanbook        dbo            Loan_History                                        196,274,410
BackingTables            reporting      leadacceptrates                                     170,070,354
ReportingApplications    dbo            ApplicationHistories                                109,059,203
ReportingCentralCrm      dbo            GeneratedMessages                                    97,326,466
ReportingApplications    dbo            Tasks                                                92,825,271
ReportingTracking        dbo            WebVisits                                            91,025,575
ReportingBrokers         dbo            LeadScorecardScores                                  83,646,155
ReportingApplications    dbo            EventObjects                                         80,708,176
ReportingApplications    dbo            Events                                               79,309,024
ReportingApplications    dbo            LeadOutcomes                                         46,234,804
ReportingCommunications  dbo            Attachments                                          45,429,456
ReportingPayments        dbo            Events                                               36,215,423
ReportingApplications    dbo            Addresses                                            34,996,394
ReportingPayments        dbo            EventObjects                                         34,419,101
ReportingCommunications  dbo            ShortUrls                                            33,553,892
ReportingApplications    dbo            Telephones                                           29,217,508
BackingTables            reporting      leadconversionbreakdown                              27,146,441
BackingTables            reporting      affiliatereportbreakdown                             27,057,574
BackingTables            reporting      brokertrendsbreakdown                                26,901,523
BackingTables            reporting      loanbookalerts                                       26,166,359
BackingTables            reporting      leadswithlivecb_breakdown                            23,126,918
ReportingApplications    dbo            Emails                                               22,812,568
BackingTables            fincen         customerformat                                       18,375,354
ReportingApplications    dbo            GovernmentIdentities                                 17,927,368
ReportingApplications    dbo            Customers                                            17,695,256
BackingTables            reporting      sourceref2activity                                   17,354,145
BackingTables            reporting      conversionratebreakdown                              16,595,534
ReportingLoanbook        dbo            Events                                               16,568,929
BackingTables            reporting      areffirstseen                                        15,258,874
ReportingApplications    dbo            Applications                                         14,480,415
ReportingApplications    dbo            ESignatures                                          13,860,540
BackingTables            reporting      paymentattemptsdata                                  13,007,330
ReportingLookup          dbo            Lookups                                              12,466,792
ReportingLoanbook        dbo            Transactions                                         11,730,253
BackingTables            reporting      clickreportdata                                      11,238,443
BackingTables            reporting      messagelist                                          10,119,399
ReportingBrokers         dbo            PremiumLeadScores                                     9,559,367
BackingTables            reporting      paymentcampaigns                                      9,293,376
ReportingApplications    dbo            WebBehaviours                                         9,255,130
ReportingApplications    dbo            Flags                                                 9,207,494
ReportingPayments        dbo            Payments                                              8,421,461
ReportingLoanbook        dbo            Payment_Schedule                                      7,711,783
BackingTables            reporting      financeprovisionfigures                               7,275,600
BackingTables            reporting      financialfiguresbreakdown                             7,273,640
BackingTables            reporting      callbreakdown                                         7,155,772
BackingTables            reporting      affiliatesubsourceref2reportdata                      6,437,080
ReportingCentralCrm      dbo            RobotResponses                                        5,272,026
ReportingCentralCrm      dbo            TriggeredMessages                                     5,267,678
BackingTables            reporting      affiliatereportbidlevel                               4,591,493
BackingTables            reporting      breachdata                                            4,430,101
BackingTables            reporting      paymentsdue_pd                                        4,414,274
BackingTables            reporting      IFRS_Transaction                                      3,734,673
BackingTables            reporting      humanactionsperloanbreakdown                          3,586,702
BackingTables            reporting      affiliatereportcampaignlevel                          3,052,687
BackingTables            reporting      ifrsbalances                                          2,980,560
BackingTables            reporting      oxfordinvoices                                        2,919,088
BackingTables            reporting      cbunreversed                                          2,748,383
ReportingBrokers         dbo            SourceHistories                                       2,566,886
BackingTables            reporting      cohortreportbreakdown                                 2,141,673
ReportingLoanbook        dbo            AppLoginSuccesses                                     2,002,946
BackingTables            dbo            event27_affordability_extract                         1,694,961
ReportingLoanbook        dbo            Allocate                                              1,543,981
BackingTables            reporting      financeprovisionfigures_OLD                           1,454,431
BackingTables            reporting      financeprovisionfigures_ifrs_OLD                      1,431,076
BackingTables            reporting      leadconversionsummary                                 1,061,591
BackingTables            reporting      collectionsactionclients                                940,135
